XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,Throughput
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,10,50,TRUE,10000,FALSE,1024,4526.798648
256,256,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,100,100,TRUE,30000,FALSE,1024,4528.37024
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,50,75,10,50,TRUE,20000,TRUE,1024,4536.656182
256,256,512,org.apache.coyote.http11.Http11Protocol,16384,200,100,250,50,50,FALSE,30000,FALSE,1024,4536.724787
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,50,75,50,200,TRUE,30000,FALSE,2048,4538.852578
64,256,512,org.apache.coyote.http11.Http11Protocol,8192,200,50,75,10,50,FALSE,10000,FALSE,1024,4548.900682
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,50,75,100,50,FALSE,30000,FALSE,1024,4549.590537
64,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,50,75,50,50,FALSE,30000,FALSE,1024,4572.334329
128,256,512,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,50,50,TRUE,20000,FALSE,1024,4596.785315
128,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,1000,25,500,50,200,TRUE,10000,TRUE,2048,4610.206998
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,500,10,100,TRUE,20000,TRUE,1024,4612.829817
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,10,50,FALSE,30000,FALSE,1024,4618.937644
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,200,50,250,10,50,TRUE,20000,FALSE,1024,4620.431548
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,25,500,100,100,FALSE,10000,TRUE,2048,4662.511851
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,500,50,75,100,50,FALSE,20000,TRUE,1024,4675.664724
128,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,1000,50,75,50,200,TRUE,20000,TRUE,2048,4678.216664
128,64,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,50,75,10,200,FALSE,20000,FALSE,1024,4706.84218
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,250,100,50,FALSE,30000,FALSE,1024,4820.825968
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,500,50,100,FALSE,20000,FALSE,1024,4846.83986
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,100,250,100,100,FALSE,30000,TRUE,1024,4886.311812
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,250,50,100,TRUE,30000,FALSE,1024,4915.615271
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,1000,25,250,10,200,FALSE,10000,FALSE,2048,4949.43329
64,64,128,org.apache.coyote.http11.Http11Protocol,4096,500,100,250,10,200,FALSE,20000,TRUE,2048,4962.614967
64,128,256,org.apache.coyote.http11.Http11NioProtocol,8192,1000,25,500,10,200,FALSE,20000,TRUE,2048,4993.092888
64,64,128,org.apache.coyote.http11.Http11AprProtocol,4096,1000,100,250,100,100,TRUE,20000,FALSE,2048,5004.337092
256,256,512,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,50,100,TRUE,30000,FALSE,2048,5020.584396
64,64,128,org.apache.coyote.http11.Http11NioProtocol,16384,500,25,500,50,200,TRUE,20000,TRUE,1024,5044.560282
