num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
10,9,14,10,11,12,7,38,52,15,snappy,12.61
20,10,47,2,10,13,5,45,12,22,gzip,2.73
1,15,12,18,7,2,30,16,64,4,lz4,12.06
7,23,55,7,1,19,9,31,3,47,gzip,2.94
16,7,28,8,20,15,22,37,31,54,none,10.17
17,23,52,4,10,6,11,33,8,63,gzip,2.79
18,24,69,13,2,15,8,7,41,72,gzip,2.67
12,6,42,4,9,17,29,21,51,77,snappy,11.96
9,17,48,19,3,8,6,45,48,77,gzip,2.64
20,1,86,14,4,18,24,32,45,9,gzip,2.62
3,4,51,6,18,9,15,24,6,56,lz4,5.81
2,22,13,13,1,14,9,22,55,96,none,8.72
13,15,89,7,18,9,28,4,46,42,lz4,12.94
17,24,84,18,2,10,23,8,39,22,gzip,2.63
17,19,58,8,14,2,4,32,37,82,snappy,11.32
7,13,41,11,1,3,13,44,50,79,lz4,9.01
10,3,42,16,4,16,10,4,35,35,gzip,2.66
17,20,71,7,8,12,29,17,48,75,none,10.8
6,18,58,15,15,11,19,25,58,24,gzip,2.59
19,4,9,16,11,19,17,45,31,6,lz4,12.24
7,22,80,12,14,11,15,13,31,7,lz4,12
3,1,71,8,7,16,20,20,43,21,lz4,12.19
16,19,25,18,2,12,13,3,23,74,snappy,9.43
14,21,39,14,2,1,30,18,40,55,snappy,9.79
8,19,18,12,20,3,30,21,39,31,lz4,12.22
18,1,67,15,6,3,17,34,51,87,lz4,12.11
19,23,86,3,19,9,18,38,15,81,none,7.6
14,13,23,7,17,11,14,23,25,51,snappy,10.88
2,22,33,20,20,3,9,20,8,39,lz4,7.65
10,11,73,16,11,16,25,22,16,52,snappy,9.89
12,13,9,5,11,11,9,9,55,19,snappy,12.17
4,3,67,2,3,16,7,26,1,41,none,1.4
4,24,28,12,18,6,23,23,44,74,gzip,2.64
3,11,5,14,1,11,7,48,48,11,lz4,9.07
5,14,95,14,2,19,11,32,50,93,none,9.65
13,22,31,16,1,8,23,45,1,0,snappy,1.92
4,12,11,15,14,11,18,13,15,52,snappy,9.25
6,11,86,9,19,16,24,19,1,74,gzip,2.24
20,12,85,13,17,5,19,11,54,45,none,11.2
19,4,30,5,2,6,7,5,32,83,gzip,2.63
4,9,17,18,10,11,28,10,51,29,none,11.33
9,17,16,4,11,12,15,37,40,11,snappy,11.98
16,16,33,6,15,3,19,16,31,9,gzip,2.61
1,8,6,11,5,5,3,4,46,88,lz4,11.68
4,3,14,9,19,12,3,40,63,37,gzip,2.64
2,13,72,7,15,10,9,41,12,47,none,8
2,6,79,3,12,16,29,11,14,9,lz4,7.97
6,21,23,5,12,1,19,5,37,3,none,10.15
4,24,72,16,5,5,5,17,34,96,gzip,2.64
1,21,58,15,7,13,25,43,7,3,none,6.22
8,15,36,1,5,7,18,48,25,95,snappy,9.19
16,7,46,10,16,3,1,19,60,20,gzip,2.63
8,7,69,7,8,19,13,45,16,38,none,8.56
10,19,51,13,6,18,27,15,6,100,snappy,6.45
20,17,35,11,19,9,3,46,59,81,gzip,2.63
16,16,16,16,11,2,9,8,52,5,lz4,12.35
18,13,37,1,4,4,7,17,14,28,gzip,2.71
17,24,43,13,17,6,16,9,42,72,snappy,12.23
12,20,6,3,3,18,26,10,44,43,snappy,10.33
8,18,21,6,17,11,5,15,30,1,gzip,2.88
14,18,40,12,7,12,11,46,15,16,none,8.39
9,6,60,15,14,12,30,37,48,67,none,11.37
15,14,34,4,15,9,19,35,16,88,none,8.58
14,21,46,13,9,13,1,7,46,74,none,5.21
15,3,94,8,3,12,17,41,46,16,snappy,8.66
2,20,14,13,14,15,25,3,64,69,gzip,2.63
3,17,84,14,13,7,16,35,4,14,lz4,4.72
3,15,6,5,14,18,9,25,54,90,none,9.6
12,19,2,6,9,19,20,13,50,34,gzip,2.67
9,21,8,1,2,20,1,22,28,49,lz4,8.64
13,15,38,11,20,19,18,17,64,95,gzip,2.63
4,13,54,4,15,9,3,33,22,97,gzip,2.67
11,1,95,8,14,17,1,17,47,55,lz4,10.08
2,14,75,17,17,2,8,29,41,52,gzip,2.64
20,9,47,12,7,14,22,12,20,25,snappy,9.06
1,15,81,10,13,3,18,5,50,75,snappy,9.78
19,24,76,1,13,8,7,8,44,85,gzip,2.65
13,13,34,20,17,2,25,14,61,21,snappy,10.23
16,2,93,19,16,12,19,24,9,37,snappy,7.56
18,9,6,8,12,6,9,37,20,15,snappy,9.38
8,18,33,15,7,16,3,26,61,25,snappy,10.97
12,22,81,11,1,16,6,4,31,90,lz4,8.54
11,23,31,20,15,10,1,4,4,24,gzip,2.89
13,11,48,1,16,6,5,39,41,10,snappy,5.56
18,14,6,14,8,8,18,47,41,1,gzip,2.87
18,6,90,18,7,1,27,41,44,92,lz4,9.24
5,4,87,20,6,11,9,2,21,2,gzip,2.83
18,24,33,20,17,10,1,17,62,54,none,8.84
5,5,80,14,3,16,23,47,7,35,gzip,2.65
14,20,33,3,8,18,11,27,44,75,lz4,11.09
15,2,67,7,6,2,5,23,35,86,gzip,2.64
20,6,98,10,14,10,2,16,57,23,gzip,2.63
1,23,26,6,11,11,24,31,58,84,none,10.2
9,5,72,6,17,19,8,1,13,95,snappy,7.58
11,11,7,4,1,18,8,26,56,51,lz4,9.41
7,16,74,13,1,10,26,40,21,4,snappy,7.48
10,9,29,1,9,2,9,21,2,91,lz4,2
5,3,1,6,1,17,7,31,1,7,gzip,1.95
20,7,98,19,11,8,10,48,29,99,lz4,11.41
7,5,88,9,7,2,30,12,39,75,none,9.16
17,2,79,7,10,16,12,32,25,91,lz4,10.73
17,4,70,12,14,12,11,25,16,92,gzip,2.69
17,7,9,3,15,2,26,43,24,44,none,8.24
14,12,93,5,12,15,6,3,33,56,lz4,10.81
11,17,61,1,11,14,15,11,13,91,lz4,7.35
19,1,65,5,1,18,9,3,52,33,lz4,9.72
2,10,74,17,1,3,3,38,64,41,none,8
10,10,16,6,2,13,5,45,56,95,snappy,10.08
3,7,49,11,19,7,26,35,55,57,lz4,11.88
1,1,80,7,10,6,30,13,5,100,gzip,2.85
8,15,36,20,7,18,19,17,26,34,gzip,2.66
6,9,37,19,17,15,5,46,32,46,gzip,2.66
17,14,73,3,13,5,29,40,14,30,none,6.55
16,10,61,20,9,13,18,1,10,41,snappy,8.04
12,17,84,9,19,9,2,29,32,13,snappy,11.27
19,10,48,8,2,17,24,22,56,90,gzip,2.62
8,10,61,15,17,9,2,20,64,85,snappy,12.38
11,6,40,4,2,20,13,34,28,96,lz4,9.65
7,9,70,20,3,19,1,19,31,11,none,9.06
9,5,38,8,17,19,21,47,27,62,snappy,10.97
18,6,98,4,17,5,12,42,7,96,lz4,6.13
16,18,41,5,16,10,9,37,51,81,lz4,12.19
16,11,78,19,12,6,15,5,46,9,lz4,12.81
9,1,99,9,5,8,26,3,59,85,lz4,12.02
7,13,85,15,18,2,18,33,24,35,none,9.09
18,7,74,1,16,12,26,39,55,96,none,10.04
8,6,87,9,19,13,8,20,24,5,none,9.02
18,24,24,19,3,10,24,10,21,12,lz4,9.86
11,23,7,4,15,6,15,22,39,63,none,10.2
4,20,47,20,1,12,23,33,54,37,none,7.92
2,5,37,14,6,15,25,28,10,66,none,7.24
2,16,25,10,12,7,18,29,38,20,gzip,2.6
16,24,100,11,20,6,18,28,35,94,none,9.18
3,19,34,6,20,8,7,15,17,83,snappy,8.71
3,19,28,3,14,12,10,32,45,99,snappy,10.81
13,6,34,19,18,11,6,46,52,69,snappy,11.61
12,17,52,7,10,2,24,30,33,15,none,9.53
8,10,66,1,11,14,26,40,49,57,gzip,2.69
17,23,42,17,17,9,28,25,61,40,none,10.75
12,7,42,18,19,20,19,10,62,21,gzip,2.6
16,23,8,15,8,11,8,46,18,1,lz4,9.73
2,15,74,19,20,4,3,36,29,74,none,9.99
11,6,64,20,11,16,27,43,30,57,snappy,11.34
2,13,70,11,9,5,25,27,17,93,snappy,9.54
2,18,72,3,20,14,26,7,12,20,gzip,2.64
3,2,93,4,17,19,14,45,57,39,gzip,2.62
18,24,81,6,12,16,12,44,18,33,none,8.39
16,2,53,10,13,14,16,36,53,76,lz4,12.9
12,8,92,11,13,3,24,15,47,80,snappy,10.76
14,1,39,11,3,18,17,35,25,73,none,8.86
13,1,16,2,7,17,6,38,20,60,snappy,9.38
13,14,46,16,16,9,22,40,58,87,gzip,2.63
4,6,36,15,6,16,16,45,49,90,none,10.35
12,16,36,13,9,13,16,8,52,44,snappy,11.1
4,12,60,18,1,7,19,6,36,87,gzip,2.61
6,6,3,7,13,4,9,44,56,22,none,9.47
4,16,29,17,19,15,23,18,42,24,snappy,12.01
3,23,32,6,14,11,18,13,15,14,snappy,8.61
10,5,65,7,9,11,24,14,12,31,snappy,8.16
4,22,61,5,17,19,20,44,1,63,gzip,2.31
9,8,35,19,7,6,9,18,12,97,gzip,2.68
8,13,72,14,4,6,7,35,20,69,lz4,9.63
15,10,76,12,6,3,5,23,30,12,lz4,10.34
17,18,38,10,17,10,12,15,28,38,snappy,10.03
19,17,45,1,15,18,12,47,56,18,lz4,10.39
8,17,51,10,1,15,11,45,17,53,lz4,7.59
9,10,72,14,6,10,23,4,49,36,lz4,10.72
7,20,34,6,19,16,8,3,39,70,none,10.01
10,23,30,1,18,9,16,24,32,71,gzip,2.66
4,23,53,10,19,20,7,47,62,92,none,9.91
2,3,81,18,7,14,9,29,28,70,none,9.86
3,2,11,10,18,4,7,21,37,95,none,10.41
6,18,64,15,6,19,15,45,18,0,snappy,9.76
13,5,65,20,8,18,24,38,37,59,lz4,11.9
7,12,60,9,3,10,11,38,43,15,none,9.54
19,21,62,6,20,13,21,29,54,42,lz4,12.41
16,12,42,20,17,10,1,38,11,57,snappy,8.35
14,14,24,5,5,2,29,19,6,65,lz4,6.07
3,7,22,13,17,19,16,31,19,60,snappy,9.76
2,13,15,17,4,11,23,21,50,88,gzip,2.64
9,5,97,12,19,16,18,23,6,87,lz4,5.97
20,22,18,15,10,12,15,4,39,6,none,10.38
9,21,77,9,20,19,29,36,51,33,lz4,12.09
13,18,62,12,4,20,13,34,39,60,none,9.08
12,23,89,17,11,9,5,48,64,84,gzip,2.62
17,20,42,14,7,18,24,4,31,73,none,9.74
18,15,54,10,10,11,22,18,48,0,none,10.09
20,21,6,13,8,2,12,2,3,36,lz4,4.23
11,21,58,19,18,16,8,26,23,63,gzip,2.64
18,12,68,9,17,3,15,10,20,86,lz4,9.86
2,22,82,15,7,16,13,36,30,7,gzip,2.68
11,5,41,2,3,4,29,13,31,7,snappy,9.37
17,9,7,3,20,1,2,16,10,86,lz4,6.25
16,21,85,4,3,16,24,2,26,78,gzip,2.66
19,8,52,7,1,6,6,6,30,95,snappy,8.61
11,8,36,3,11,9,28,40,15,79,snappy,7.76
12,10,95,5,17,20,20,45,12,61,none,7.72
7,16,60,13,13,14,29,24,5,98,gzip,2.77
12,16,31,16,16,6,17,18,40,52,none,10.72
10,9,83,2,12,16,5,31,44,34,none,10.35
19,1,14,14,3,18,11,42,44,79,lz4,10.65
16,19,71,11,10,11,24,47,25,98,snappy,10.51
9,18,90,7,18,5,24,30,38,15,snappy,11.55
2,3,98,16,20,18,29,45,24,70,lz4,10.96
15,2,77,14,15,4,2,19,23,32,none,8.84
20,9,92,12,17,16,10,48,7,66,none,6.08
4,17,12,5,15,10,27,17,51,74,lz4,11.38
4,16,2,15,3,16,2,25,56,24,gzip,2.61
19,18,82,5,11,2,8,21,30,88,none,9.26
10,18,40,8,11,20,21,11,26,18,none,9.27
6,21,87,17,2,14,6,3,7,49,snappy,6.64
15,1,84,7,17,14,7,16,32,23,snappy,9.97
3,10,87,9,16,10,30,22,36,75,none,9.7
10,12,65,11,2,11,19,40,50,42,none,9.43
4,9,87,1,14,8,8,28,29,32,snappy,9.2
14,4,93,11,11,13,23,28,14,44,none,8.24
15,20,63,4,9,16,17,32,5,76,lz4,5.51
2,5,36,12,8,11,18,1,14,25,snappy,8.25
15,23,77,11,4,4,7,22,41,58,lz4,11.07
2,7,42,9,13,7,17,5,36,66,lz4,12.2
7,16,64,9,12,15,6,6,19,80,lz4,10.09
5,21,21,12,9,11,18,19,48,78,none,10.78
10,14,68,8,6,3,28,18,63,75,snappy,10.76
1,3,37,4,6,7,13,42,50,87,none,10.15
6,6,21,16,8,6,25,44,41,16,lz4,11.64
3,17,8,14,20,13,27,39,39,1,none,10.58
18,5,56,18,1,8,29,6,31,78,lz4,8.85
11,21,50,14,4,18,16,34,47,45,none,9.96
17,14,6,15,11,18,28,7,9,100,snappy,7.53
10,24,12,11,14,17,8,17,28,32,snappy,11.1
10,7,60,7,11,19,21,40,27,14,gzip,2.61
4,13,13,19,20,14,6,42,14,24,gzip,2.67
8,10,20,7,18,16,6,47,58,82,gzip,2.65
16,22,32,2,15,12,17,29,57,9,gzip,2.65
1,9,44,8,19,11,25,1,26,91,lz4,10.15
15,21,84,7,19,20,28,7,23,38,gzip,2.67
1,18,28,16,4,18,6,21,25,24,lz4,9.74
7,23,97,15,11,2,28,14,23,95,gzip,2.69
3,18,95,15,1,10,27,17,8,94,none,5.69
3,9,42,14,8,13,19,35,8,25,gzip,2.75
9,6,78,12,4,10,29,24,20,20,snappy,9.6
15,20,18,8,3,18,3,37,17,58,gzip,2.68
18,18,2,1,12,7,10,22,16,94,gzip,2.63
9,22,93,5,18,20,21,7,48,20,snappy,12.17
19,5,62,9,15,9,10,48,61,55,lz4,12.99
3,2,62,20,3,14,20,16,56,80,lz4,11.63
18,1,59,8,10,4,14,30,62,31,snappy,11.92
8,4,65,10,11,19,12,41,28,66,gzip,2.64
4,18,77,6,16,8,14,12,8,10,none,5.78
11,17,81,12,16,4,11,43,6,9,snappy,5.69
20,21,14,13,15,2,20,33,15,50,snappy,9.16
13,16,64,9,11,12,12,13,20,73,gzip,2.67
8,22,6,9,13,17,21,1,14,97,gzip,2.69
11,16,77,20,4,6,7,5,49,4,none,9.72
11,21,51,18,19,18,13,35,29,64,gzip,2.66
19,12,13,17,6,7,29,33,44,26,none,9.99
2,11,70,19,7,14,27,44,32,29,snappy,11.07
1,1,37,20,5,2,22,2,17,61,none,8.44
7,8,39,11,2,8,30,11,10,65,gzip,2.64
2,13,46,18,14,19,11,3,49,82,gzip,2.66
14,12,83,7,17,12,8,41,53,46,lz4,12.11
10,18,49,20,3,2,14,48,52,45,snappy,10.13
2,1,50,4,11,17,13,22,21,77,lz4,10.34
18,16,10,6,1,11,4,7,22,4,lz4,8.07
2,1,57,18,2,16,8,46,2,79,none,3.07
1,21,33,2,19,8,24,42,59,5,snappy,11.17
9,11,6,14,9,14,21,9,19,63,lz4,9.97
10,24,2,8,14,10,11,17,53,89,lz4,12.24
12,11,20,8,19,5,29,16,30,69,lz4,11.35
8,13,92,14,5,13,1,23,64,18,lz4,12.63
20,6,46,16,12,1,11,19,48,5,gzip,2.62
8,13,42,19,18,17,27,5,1,64,gzip,2.52
15,1,100,3,11,3,5,12,19,43,snappy,7.77
20,18,81,13,11,9,22,47,44,58,gzip,2.64
20,15,24,2,4,19,30,33,45,86,lz4,9.98
7,21,26,15,2,12,11,47,47,14,snappy,10.17
12,8,94,20,17,16,7,12,47,36,snappy,11.3
17,2,89,20,19,8,3,46,27,88,snappy,10.78
13,1,13,20,10,12,9,3,13,22,none,7.94
15,17,42,12,5,15,28,41,10,40,lz4,7.57
4,1,71,1,9,19,20,31,50,79,gzip,2.66
5,14,1,7,12,11,30,8,47,5,none,10.45
11,19,34,8,2,14,10,36,62,87,lz4,10.78
8,9,31,20,4,8,20,23,48,82,gzip,2.65
12,22,80,4,4,14,24,3,58,30,snappy,10.02
12,1,14,1,20,8,3,40,2,52,gzip,2.72
2,10,87,4,8,13,24,27,61,50,none,10.41
16,7,16,10,19,2,1,29,63,97,lz4,12.47
18,9,2,11,4,6,15,38,40,59,snappy,10.16
19,3,81,5,8,16,17,39,21,8,none,8.92
1,20,36,18,16,3,2,32,44,30,gzip,2.65
3,10,33,4,4,1,22,42,21,97,snappy,9.05
2,3,54,9,17,8,30,34,22,19,none,8.97
20,19,32,3,2,15,18,15,18,71,none,6.73
17,7,84,18,15,15,4,41,4,14,none,4.59
17,18,24,11,17,20,2,43,42,98,gzip,2.64
3,10,98,13,9,13,28,24,18,78,lz4,9.84
2,21,29,8,10,11,14,47,36,84,lz4,11.51
2,8,71,2,13,8,30,12,15,63,none,7.52
17,2,76,17,16,7,19,10,49,99,lz4,12.4
4,14,69,12,13,9,21,30,57,76,snappy,10.97
8,20,54,1,16,4,24,20,27,92,snappy,8.96
8,1,94,10,5,4,22,47,28,64,none,8.5
1,19,30,3,17,1,7,10,39,29,gzip,2.65
2,7,83,19,14,5,10,23,31,75,lz4,11.1
16,24,72,5,18,9,17,13,40,89,none,9.6
6,9,46,15,18,11,17,12,7,66,none,5.94
15,8,7,20,7,9,19,8,15,14,none,8.62
7,6,61,15,15,16,17,18,9,12,snappy,7.28
