num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
5,3,23,6,8,12,29,3,31,94,snappy,11.11
13,14,95,1,2,19,10,29,2,100,lz4,2.04
8,19,11,7,10,9,7,27,31,74,snappy,11.6
14,10,97,20,18,14,15,48,33,6,gzip,2.64
4,7,45,4,1,3,24,29,56,75,gzip,2.64
10,19,21,18,18,11,25,45,14,27,snappy,9.34
14,15,20,19,10,11,12,25,5,92,lz4,6.03
3,8,21,16,3,11,29,46,53,31,none,10.31
16,7,52,12,2,12,1,37,3,95,none,4.01
9,21,53,6,17,18,27,39,43,11,lz4,12.5
12,12,57,11,13,2,24,33,13,44,none,8.43
16,19,61,2,11,7,16,46,36,80,gzip,2.64
15,20,58,13,3,2,24,27,6,64,gzip,2.76
9,6,59,7,15,10,9,39,38,43,snappy,11.91
8,9,4,17,12,13,7,19,25,26,lz4,11.39
4,24,26,17,1,4,17,5,5,57,none,4.96
3,1,59,7,13,3,11,16,22,95,none,9.59
15,15,32,8,10,7,22,25,56,38,gzip,2.64
20,12,19,12,16,16,9,41,50,48,none,11.24
19,11,2,8,16,4,6,47,54,73,snappy,12.09
11,7,6,2,18,6,29,24,13,22,lz4,8.39
19,2,44,5,3,17,10,27,11,86,lz4,8.55
18,4,4,19,2,1,22,10,61,13,lz4,10.7
6,22,34,11,11,19,30,19,56,29,none,11.06
6,19,93,16,13,13,28,37,44,17,lz4,12.99
8,9,66,8,13,16,22,45,3,44,lz4,3.79
17,10,84,4,20,16,11,28,11,92,gzip,2.75
11,2,69,3,6,2,6,15,6,50,none,4.64
15,18,38,9,18,20,23,24,42,42,lz4,13.09
16,18,25,9,4,18,25,10,54,66,gzip,2.66
20,3,6,4,17,8,27,11,62,99,snappy,12.27
5,21,66,5,4,14,9,35,20,55,none,8.59
5,7,6,12,9,3,27,15,57,47,gzip,2.66
8,12,86,18,5,15,11,35,3,8,lz4,4.36
19,24,89,7,18,11,11,7,2,90,snappy,2.44
14,7,25,2,2,15,9,48,42,51,none,8.67
6,18,21,10,9,14,28,31,18,78,gzip,2.71
11,2,55,11,2,2,16,25,60,13,snappy,10.38
9,12,21,4,16,10,28,6,41,18,none,11.02
20,5,95,10,10,2,26,46,57,84,snappy,11.79
20,12,71,16,5,5,3,9,18,98,snappy,10.12
