num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,T
3,8,10,1,10,10,10,16,4,0,none,15.57
4,10,94,11,5,3,17,42,36,60,gzip,2.64
16,6,95,1,15,12,8,48,53,81,snappy,16.16
4,12,58,17,16,15,5,15,42,55,none,21.01
12,5,3,2,1,12,10,36,58,84,lz4,13.75
9,5,62,19,12,5,21,45,22,79,gzip,2.68
5,11,78,6,9,20,20,27,25,9,gzip,2.67
10,24,54,8,5,12,16,29,19,49,lz4,17.44
11,15,36,13,18,8,23,37,42,42,gzip,2.63
12,11,26,6,2,3,20,13,5,61,gzip,2.86
7,21,32,9,5,20,15,23,50,62,snappy,16.32
1,22,19,20,12,9,26,31,44,34,lz4,16.76
13,1,69,14,9,8,25,45,20,79,none,19.92
15,17,72,1,9,10,21,20,9,6,none,18.24
19,12,72,10,1,1,28,10,26,41,none,11.98
10,24,54,8,5,12,16,29,19,23,lz4,16.93
1,11,50,10,14,16,30,7,46,44,gzip,2.64
20,21,40,4,2,18,8,1,13,21,lz4,16.31
16,6,85,13,6,1,5,14,52,100,gzip,2.66
13,8,22,3,9,7,26,34,10,33,none,18.65
15,19,59,4,20,4,6,23,8,40,gzip,2.81
7,8,79,11,16,19,3,27,21,2,none,20.08
7,17,44,7,13,3,8,16,62,8,none,20.33
12,3,66,10,17,10,1,34,55,8,none,20.93
5,19,54,13,16,19,8,24,46,39,gzip,2.62
5,23,52,18,17,5,3,47,12,9,none,19.4
17,9,14,8,15,14,22,4,53,87,snappy,16.2
6,11,18,6,18,2,1,29,2,9,none,14.47
4,15,75,16,16,10,20,11,21,55,none,20.38
4,12,58,17,16,15,5,15,42,55,none,21.07
