spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,5073,0.566537686,0.631082415,125,FALSE,FALSE,TRUE,FALSE,lzf,96,48,org.apache.spark.serializer.KryoSerializer,168606
4,18614,0.756849893,0.580369932,258,TRUE,FALSE,FALSE,TRUE,lz4,38,49,org.apache.spark.serializer.JavaSerializer,168969
4,13110,0.360080911,0.156257107,277,TRUE,FALSE,TRUE,TRUE,lzf,49,54,org.apache.spark.serializer.KryoSerializer,169342
2,4425,0.683380991,0.417941366,295,FALSE,TRUE,TRUE,TRUE,snappy,87,61,org.apache.spark.serializer.JavaSerializer,169860
4,19146,0.818748741,0.146747638,241,TRUE,FALSE,TRUE,TRUE,lzf,56,54,org.apache.spark.serializer.KryoSerializer,169901
4,6157,0.203298754,0.890562807,216,TRUE,TRUE,TRUE,TRUE,lz4,40,41,org.apache.spark.serializer.KryoSerializer,170832
4,15425,0.155376774,0.67639387,336,FALSE,FALSE,FALSE,TRUE,lzf,87,29,org.apache.spark.serializer.KryoSerializer,171197
4,18656,0.379634309,0.632337311,193,TRUE,TRUE,FALSE,FALSE,snappy,30,38,org.apache.spark.serializer.JavaSerializer,171447
4,11943,0.229470333,0.54156184,315,FALSE,FALSE,TRUE,TRUE,lz4,74,25,org.apache.spark.serializer.JavaSerializer,171587
2,6052,0.194099514,0.613285346,201,TRUE,FALSE,TRUE,TRUE,lz4,30,32,org.apache.spark.serializer.KryoSerializer,172349
2,6421,0.36275746,0.842157189,146,FALSE,TRUE,FALSE,TRUE,lzf,35,35,org.apache.spark.serializer.JavaSerializer,173436
2,4699,0.590500359,0.683768383,165,TRUE,FALSE,FALSE,FALSE,snappy,29,40,org.apache.spark.serializer.KryoSerializer,176022
3,7505,0.7175119,0.280849187,96,TRUE,TRUE,FALSE,FALSE,lzf,38,52,org.apache.spark.serializer.KryoSerializer,176855
4,12091,0.153125251,0.108624435,192,FALSE,FALSE,FALSE,TRUE,snappy,39,17,org.apache.spark.serializer.KryoSerializer,177038
3,8030,0.7104692,0.650994039,111,TRUE,FALSE,TRUE,TRUE,lz4,82,28,org.apache.spark.serializer.JavaSerializer,178414
3,8778,0.332446872,0.868754779,93,TRUE,FALSE,FALSE,TRUE,lzf,57,15,org.apache.spark.serializer.KryoSerializer,179095
2,6761,0.58808365,0.432944416,281,TRUE,FALSE,TRUE,FALSE,lzf,11,34,org.apache.spark.serializer.JavaSerializer,179960
2,6095,0.785395563,0.898118389,313,FALSE,FALSE,FALSE,TRUE,lzf,67,18,org.apache.spark.serializer.KryoSerializer,180511
3,18403,0.732796319,0.631018404,177,FALSE,TRUE,TRUE,FALSE,lz4,69,9,org.apache.spark.serializer.KryoSerializer,180825
3,4622,0.675368295,0.65184564,40,TRUE,TRUE,FALSE,TRUE,lzf,33,44,org.apache.spark.serializer.KryoSerializer,181811
3,12388,0.41082304,0.644248498,59,TRUE,FALSE,FALSE,FALSE,lzf,94,24,org.apache.spark.serializer.JavaSerializer,182506
2,10129,0.307245776,0.599506781,284,TRUE,TRUE,TRUE,FALSE,lz4,46,15,org.apache.spark.serializer.KryoSerializer,183087
3,13078,0.895882073,0.367676954,64,TRUE,FALSE,FALSE,TRUE,snappy,67,23,org.apache.spark.serializer.JavaSerializer,183201
3,9167,0.203793694,0.336677301,128,TRUE,FALSE,TRUE,FALSE,snappy,17,42,org.apache.spark.serializer.JavaSerializer,183514
3,17063,0.358619366,0.114051328,91,FALSE,FALSE,FALSE,FALSE,lzf,76,37,org.apache.spark.serializer.JavaSerializer,183884
3,10166,0.72231965,0.888140662,115,TRUE,FALSE,FALSE,FALSE,lzf,57,45,org.apache.spark.serializer.KryoSerializer,183909
3,4712,0.799569628,0.100989071,172,TRUE,TRUE,TRUE,FALSE,snappy,67,18,org.apache.spark.serializer.JavaSerializer,184341
3,11358,0.112723652,0.795776982,138,TRUE,FALSE,TRUE,FALSE,lz4,29,34,org.apache.spark.serializer.JavaSerializer,184728
3,7010,0.261742969,0.318465596,207,FALSE,TRUE,TRUE,TRUE,snappy,67,52,org.apache.spark.serializer.JavaSerializer,185213
3,11577,0.627657719,0.76521672,109,FALSE,TRUE,TRUE,TRUE,lzf,15,54,org.apache.spark.serializer.JavaSerializer,185531
4,19443,0.688738825,0.361752119,247,TRUE,FALSE,TRUE,TRUE,lzf,56,32,org.apache.spark.serializer.JavaSerializer,185591
3,4493,0.558724519,0.50450047,178,FALSE,FALSE,TRUE,FALSE,lz4,40,29,org.apache.spark.serializer.KryoSerializer,186721
3,13056,0.83796739,0.680076772,16,FALSE,TRUE,TRUE,FALSE,lzf,32,27,org.apache.spark.serializer.KryoSerializer,187122
3,17809,0.253766807,0.11350942,14,FALSE,TRUE,TRUE,FALSE,lzf,24,21,org.apache.spark.serializer.JavaSerializer,187438
3,8431,0.695332233,0.392872596,117,FALSE,TRUE,FALSE,FALSE,lzf,23,48,org.apache.spark.serializer.KryoSerializer,188753
3,7802,0.146494431,0.278516331,93,TRUE,FALSE,FALSE,FALSE,lzf,15,15,org.apache.spark.serializer.KryoSerializer,188838
3,14010,0.517616723,0.882793145,178,FALSE,FALSE,TRUE,FALSE,lz4,89,54,org.apache.spark.serializer.KryoSerializer,189512
2,7110,0.631581112,0.856878825,179,TRUE,TRUE,FALSE,FALSE,lzf,77,10,org.apache.spark.serializer.KryoSerializer,189520
1,6450,0.687542898,0.420497935,110,TRUE,TRUE,TRUE,FALSE,snappy,13,37,org.apache.spark.serializer.KryoSerializer,190678
3,15458,0.408657769,0.800490462,350,FALSE,TRUE,FALSE,FALSE,lz4,21,32,org.apache.spark.serializer.KryoSerializer,191045
3,20134,0.273082117,0.190185436,200,FALSE,TRUE,TRUE,FALSE,lzf,75,40,org.apache.spark.serializer.KryoSerializer,192102
3,9759,0.318316821,0.816189756,29,FALSE,TRUE,TRUE,FALSE,snappy,54,58,org.apache.spark.serializer.JavaSerializer,192221
3,15113,0.172532152,0.210197336,104,FALSE,TRUE,FALSE,FALSE,snappy,56,62,org.apache.spark.serializer.JavaSerializer,192470
3,5073,0.234262305,0.336019435,50,TRUE,FALSE,TRUE,TRUE,snappy,90,14,org.apache.spark.serializer.KryoSerializer,192493
4,19100,0.799071408,0.613766702,311,FALSE,FALSE,TRUE,TRUE,snappy,73,48,org.apache.spark.serializer.KryoSerializer,192536
3,12681,0.331917499,0.795912199,178,FALSE,FALSE,TRUE,FALSE,snappy,86,59,org.apache.spark.serializer.JavaSerializer,192725
3,11617,0.587880476,0.238168265,56,FALSE,TRUE,FALSE,TRUE,snappy,34,31,org.apache.spark.serializer.JavaSerializer,194784
3,11829,0.214464195,0.29737972,321,TRUE,FALSE,FALSE,TRUE,lz4,92,43,org.apache.spark.serializer.KryoSerializer,195327
3,11728,0.415292455,0.684772906,119,TRUE,TRUE,TRUE,FALSE,snappy,82,20,org.apache.spark.serializer.KryoSerializer,195538
3,14109,0.7013957,0.108019829,280,FALSE,FALSE,FALSE,TRUE,snappy,80,41,org.apache.spark.serializer.JavaSerializer,196074
3,15348,0.516632777,0.291331944,238,FALSE,FALSE,TRUE,FALSE,lz4,76,56,org.apache.spark.serializer.JavaSerializer,196345
3,8950,0.415581514,0.329595327,294,TRUE,TRUE,FALSE,FALSE,lz4,9,42,org.apache.spark.serializer.JavaSerializer,196495
3,11120,0.375385933,0.843379822,67,TRUE,FALSE,TRUE,TRUE,lzf,30,37,org.apache.spark.serializer.JavaSerializer,196670
3,11402,0.548495776,0.773355426,287,TRUE,TRUE,FALSE,FALSE,snappy,86,37,org.apache.spark.serializer.JavaSerializer,197545
3,7507,0.520619318,0.247133894,273,FALSE,TRUE,FALSE,TRUE,snappy,13,9,org.apache.spark.serializer.KryoSerializer,197818
3,6952,0.73236252,0.365805008,183,TRUE,TRUE,TRUE,FALSE,lz4,38,51,org.apache.spark.serializer.KryoSerializer,198018
3,9522,0.45292687,0.270580654,360,TRUE,TRUE,FALSE,TRUE,lz4,12,21,org.apache.spark.serializer.KryoSerializer,198133
3,11877,0.750783398,0.891347727,143,TRUE,TRUE,TRUE,FALSE,lz4,41,38,org.apache.spark.serializer.JavaSerializer,198244
3,20389,0.671678309,0.487856039,305,FALSE,TRUE,FALSE,FALSE,lzf,19,34,org.apache.spark.serializer.JavaSerializer,198665
1,4707,0.584119383,0.679329497,161,FALSE,FALSE,FALSE,FALSE,snappy,17,13,org.apache.spark.serializer.KryoSerializer,199573
3,11927,0.297970937,0.486642874,142,FALSE,FALSE,FALSE,TRUE,lz4,39,63,org.apache.spark.serializer.KryoSerializer,199824
3,4571,0.348713601,0.226540496,197,TRUE,FALSE,FALSE,TRUE,lzf,37,61,org.apache.spark.serializer.JavaSerializer,200045
3,10713,0.80423546,0.221979046,354,TRUE,TRUE,TRUE,TRUE,snappy,71,49,org.apache.spark.serializer.JavaSerializer,200059
3,7747,0.684789038,0.346524685,296,FALSE,FALSE,TRUE,FALSE,snappy,40,44,org.apache.spark.serializer.JavaSerializer,200909
3,5710,0.448909998,0.270430834,175,FALSE,TRUE,TRUE,FALSE,snappy,30,10,org.apache.spark.serializer.KryoSerializer,201264
3,14629,0.746118749,0.388673269,324,FALSE,TRUE,TRUE,TRUE,snappy,21,54,org.apache.spark.serializer.KryoSerializer,201474
3,15339,0.72563384,0.749996583,270,TRUE,FALSE,TRUE,TRUE,lz4,19,63,org.apache.spark.serializer.JavaSerializer,202430
3,16007,0.411869492,0.638172668,333,TRUE,TRUE,TRUE,FALSE,lzf,75,29,org.apache.spark.serializer.KryoSerializer,202785
