spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
2,15400,0.600476558,0.631609523,105,TRUE,TRUE,TRUE,TRUE,lz4,83,55,org.apache.spark.serializer.KryoSerializer,230956
2,11217,0.43611868,0.21242679,54,FALSE,TRUE,FALSE,TRUE,lzf,68,30,org.apache.spark.serializer.KryoSerializer,231051
2,6485,0.586590942,0.172864179,35,TRUE,FALSE,TRUE,TRUE,lzf,80,64,org.apache.spark.serializer.JavaSerializer,231587
4,12907,0.239559501,0.469751747,207,TRUE,TRUE,TRUE,TRUE,snappy,70,57,org.apache.spark.serializer.KryoSerializer,231736
3,6334,0.605229491,0.874900178,28,FALSE,FALSE,FALSE,TRUE,lz4,62,16,org.apache.spark.serializer.JavaSerializer,232314
2,17019,0.742865082,0.196765925,98,FALSE,TRUE,TRUE,FALSE,lz4,72,45,org.apache.spark.serializer.JavaSerializer,232891
4,19492,0.899691935,0.368965936,113,TRUE,TRUE,TRUE,FALSE,snappy,74,25,org.apache.spark.serializer.KryoSerializer,233278
3,9561,0.893606157,0.30062521,53,TRUE,FALSE,TRUE,TRUE,lzf,51,27,org.apache.spark.serializer.JavaSerializer,233684
3,10834,0.647425555,0.436929515,194,TRUE,TRUE,FALSE,TRUE,lz4,85,49,org.apache.spark.serializer.JavaSerializer,233929
3,19954,0.268492806,0.858441785,211,TRUE,FALSE,TRUE,TRUE,snappy,85,18,org.apache.spark.serializer.JavaSerializer,234088
2,12425,0.138789824,0.886185749,140,FALSE,TRUE,FALSE,FALSE,lzf,78,34,org.apache.spark.serializer.KryoSerializer,234437
2,17317,0.750538816,0.470085845,166,FALSE,FALSE,FALSE,FALSE,lzf,47,25,org.apache.spark.serializer.KryoSerializer,234485
3,18305,0.83529447,0.145247147,141,FALSE,FALSE,FALSE,TRUE,lz4,9,62,org.apache.spark.serializer.JavaSerializer,235011
2,12749,0.79217767,0.840453611,189,FALSE,FALSE,TRUE,FALSE,lzf,43,47,org.apache.spark.serializer.JavaSerializer,235411
4,18411,0.180972719,0.442601651,80,FALSE,FALSE,TRUE,FALSE,snappy,39,56,org.apache.spark.serializer.JavaSerializer,235611
2,9472,0.185392147,0.823258653,201,FALSE,FALSE,FALSE,TRUE,lzf,13,48,org.apache.spark.serializer.KryoSerializer,235914
1,8440,0.559675923,0.407423284,215,FALSE,TRUE,TRUE,TRUE,lzf,63,12,org.apache.spark.serializer.JavaSerializer,235932
2,16634,0.517171227,0.830833613,201,TRUE,TRUE,TRUE,FALSE,lzf,60,60,org.apache.spark.serializer.JavaSerializer,236033
2,13587,0.324801556,0.617678169,144,FALSE,TRUE,FALSE,FALSE,lz4,47,20,org.apache.spark.serializer.JavaSerializer,236254
2,19193,0.297130319,0.103823277,70,FALSE,FALSE,TRUE,FALSE,lzf,86,42,org.apache.spark.serializer.KryoSerializer,236538
2,10717,0.388641723,0.682807179,156,TRUE,FALSE,TRUE,FALSE,lz4,84,8,org.apache.spark.serializer.KryoSerializer,236937
4,13745,0.164940728,0.847652782,190,FALSE,FALSE,TRUE,TRUE,snappy,82,17,org.apache.spark.serializer.KryoSerializer,236976
3,12550,0.540292665,0.156121343,148,FALSE,FALSE,FALSE,TRUE,lzf,12,19,org.apache.spark.serializer.JavaSerializer,237279
3,8573,0.249663847,0.490595446,139,FALSE,FALSE,TRUE,TRUE,lz4,76,37,org.apache.spark.serializer.JavaSerializer,237556
4,15251,0.307237462,0.522458494,68,FALSE,TRUE,TRUE,TRUE,lzf,19,24,org.apache.spark.serializer.JavaSerializer,237972
4,13549,0.738285651,0.79734379,113,TRUE,FALSE,FALSE,TRUE,lz4,17,32,org.apache.spark.serializer.KryoSerializer,238245
2,12673,0.362783095,0.297863059,135,FALSE,TRUE,TRUE,TRUE,snappy,57,36,org.apache.spark.serializer.JavaSerializer,238438
4,5575,0.849982199,0.156405859,61,FALSE,FALSE,TRUE,FALSE,lzf,80,41,org.apache.spark.serializer.KryoSerializer,238937
3,11216,0.874689409,0.383674071,185,TRUE,TRUE,FALSE,FALSE,lzf,21,15,org.apache.spark.serializer.JavaSerializer,238959
2,17305,0.511815053,0.42274723,52,FALSE,TRUE,TRUE,FALSE,lzf,48,56,org.apache.spark.serializer.KryoSerializer,239598
3,11977,0.472593355,0.307654196,116,FALSE,TRUE,FALSE,FALSE,lzf,31,39,org.apache.spark.serializer.KryoSerializer,240049
4,18141,0.746177598,0.528959854,174,TRUE,TRUE,TRUE,TRUE,lzf,47,36,org.apache.spark.serializer.KryoSerializer,240687
4,16133,0.545668355,0.580981979,164,TRUE,TRUE,TRUE,TRUE,snappy,46,46,org.apache.spark.serializer.JavaSerializer,241062
3,15855,0.801246917,0.648765491,117,FALSE,TRUE,FALSE,TRUE,snappy,9,45,org.apache.spark.serializer.JavaSerializer,241147
2,19110,0.34569085,0.415092006,81,FALSE,FALSE,TRUE,TRUE,lz4,77,14,org.apache.spark.serializer.KryoSerializer,241542
3,12836,0.704962145,0.65931656,131,TRUE,FALSE,FALSE,FALSE,snappy,73,62,org.apache.spark.serializer.JavaSerializer,241562
3,8677,0.484711302,0.570935809,146,TRUE,TRUE,FALSE,FALSE,snappy,88,50,org.apache.spark.serializer.JavaSerializer,241697
