spark.executor.cores,spark.executor.memory,spark.memory.fraction,spark.memory.storageFraction,spark.default.parallelism,spark.shuffle.compress,spark.shuffle.spill.compress,spark.broadcast.compress,spark.rdd.compress,spark.io.compression.codec,spark.reducer.maxSizeInFlight,spark.shuffle.file.buffer,spark.serializer,time
4,16474,0.22743949,0.219751805,172,FALSE,FALSE,FALSE,TRUE,lz4,30,44,org.apache.spark.serializer.JavaSerializer,844777
3,11550,0.402007689,0.475194356,97,FALSE,FALSE,FALSE,FALSE,snappy,30,58,org.apache.spark.serializer.JavaSerializer,874044
3,18318,0.24118949,0.520394496,12,FALSE,TRUE,TRUE,FALSE,lz4,46,29,org.apache.spark.serializer.JavaSerializer,882846
3,18228,0.24692953,0.235525448,82,TRUE,FALSE,TRUE,FALSE,snappy,43,29,org.apache.spark.serializer.KryoSerializer,883018
3,11146,0.39870901,0.810819694,46,TRUE,TRUE,FALSE,TRUE,snappy,45,45,org.apache.spark.serializer.JavaSerializer,903253
2,5438,0.284076599,0.311593826,10,FALSE,FALSE,TRUE,FALSE,lzf,14,10,org.apache.spark.serializer.JavaSerializer,961513
1,19631,0.292571424,0.110144832,62,FALSE,FALSE,TRUE,FALSE,snappy,26,12,org.apache.spark.serializer.KryoSerializer,962155
1,5186,0.274333394,0.84592064,95,TRUE,TRUE,TRUE,FALSE,snappy,11,22,org.apache.spark.serializer.KryoSerializer,980680
3,10022,0.390396522,0.749606845,26,FALSE,FALSE,TRUE,TRUE,lz4,93,57,org.apache.spark.serializer.JavaSerializer,989262
4,19224,0.16723638,0.121508365,208,FALSE,FALSE,FALSE,TRUE,snappy,15,33,org.apache.spark.serializer.KryoSerializer,998134
4,5005,0.676514758,0.861974278,139,TRUE,TRUE,FALSE,FALSE,lzf,12,24,org.apache.spark.serializer.KryoSerializer,1021955
4,7545,0.37347005,0.511878983,68,FALSE,TRUE,TRUE,TRUE,lzf,65,10,org.apache.spark.serializer.JavaSerializer,1025697
1,17826,0.323773945,0.478744196,213,TRUE,TRUE,TRUE,FALSE,lzf,9,21,org.apache.spark.serializer.JavaSerializer,1035273
4,7742,0.391613307,0.103638912,193,TRUE,TRUE,FALSE,TRUE,lzf,40,50,org.apache.spark.serializer.KryoSerializer,1045275
4,11228,0.228220151,0.139233227,62,TRUE,TRUE,TRUE,TRUE,lz4,92,28,org.apache.spark.serializer.JavaSerializer,1046890
4,7998,0.288724214,0.218382634,73,FALSE,TRUE,FALSE,TRUE,snappy,33,63,org.apache.spark.serializer.KryoSerializer,1118342
3,11418,0.261980105,0.749743073,38,FALSE,FALSE,FALSE,TRUE,lz4,22,52,org.apache.spark.serializer.JavaSerializer,1165781
3,8527,0.309847408,0.556219192,189,TRUE,TRUE,FALSE,FALSE,lzf,87,55,org.apache.spark.serializer.JavaSerializer,1286220
4,4935,0.194216564,0.81661596,171,FALSE,TRUE,TRUE,TRUE,snappy,73,21,org.apache.spark.serializer.KryoSerializer,1406440
2,11141,0.323444936,0.129998811,199,FALSE,FALSE,TRUE,TRUE,lz4,95,25,org.apache.spark.serializer.JavaSerializer,1449404
3,7361,0.143306163,0.278325854,36,FALSE,TRUE,TRUE,TRUE,lz4,78,35,org.apache.spark.serializer.KryoSerializer,1560208
3,8324,0.13275982,0.754329322,209,FALSE,TRUE,FALSE,TRUE,snappy,77,51,org.apache.spark.serializer.JavaSerializer,1574619
3,4383,0.185894918,0.48353997,214,FALSE,FALSE,TRUE,TRUE,lz4,23,59,org.apache.spark.serializer.JavaSerializer,1680782
4,6018,0.789133681,0.231696851,17,TRUE,FALSE,TRUE,FALSE,lz4,49,41,org.apache.spark.serializer.KryoSerializer,1756490
2,11554,0.130547159,0.475137103,198,TRUE,TRUE,TRUE,FALSE,lz4,19,12,org.apache.spark.serializer.JavaSerializer,2049822
1,18670,0.215129528,0.298029616,113,TRUE,TRUE,TRUE,FALSE,snappy,19,29,org.apache.spark.serializer.KryoSerializer,2079711
3,6382,0.873335885,0.610426035,58,TRUE,TRUE,TRUE,FALSE,lzf,65,60,org.apache.spark.serializer.JavaSerializer,5072028
